marca,anio,kilometraje,combustible,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
VOLVO S90 B5 R-Design Aut.,01/2021,91.150 km,Diesel,12 meses,Automático,Berlina,5 asientos,235 cv,4 Puertas,Blanco,40.990 €,"CLICARS MADRID
Profesional",,No,2025-02-17 11:50:59.864317,ref14451785
SKODA Superb 1.6TDI CR Ambition DSG 88kW,08/2020,104.256 km,Diesel,12 meses,Automático,Berlina,5 asientos,120 cv,5 Puertas,Gris,23.400 €,"LOVE CARS
Profesional",,No,2025-02-17 11:51:06.997402,ref14413933
BMW Serie 1 120 2.0D 185CV AUT. 5P,11/2011,206.578 km,Diésel,12 meses,Automático,Pequeño,,185 cv,5 Puertas,ROJO,8.990 €,"AMOTOR
Profesional",,No,2025-02-17 11:51:14.141583,ref13728417
HYUNDAI Kona HEV 1.6 GDI DT Maxx,05/2023,14.461 km,Gasolina y corriente eléctrica,60 meses,Automático,Todo Terreno,5 asientos,141 cv,5 Puertas,GRIS,24.690 €,"HYUNDAI ASTURDAI
Profesional",,No,2025-02-17 11:51:21.125502,ref14697842
BMW Serie 1 118i,06/2020,70.000 km,Gasolina,24 meses,Manual,Berlina,5 asientos,140 cv,5 Puertas,Pintura metalizada Melbourne Rot,26.000 €,"BMW GRÜNBLAU MOTOR
Profesional",,Si,2025-02-17 11:51:26.376357,ref15164811
BMW i4 eDrive40,09/2022,29.000 km,Corriente eléctrica,24 meses,Automático,Berlina,5 asientos,340 cv,5 Puertas,Brooklyn Grau metalizado / Metalizado,"56.400 €
2%
55.400 €","BMW MINI TRIOCAR
Profesional",,Si,2025-02-17 11:51:33.338830,ref15148344
RENAULT Scénic 1.3 TCe Energy Zen 103kW,05/2018,108.900 km,Gasolina,12 meses,Manual,Monovolumen,5 asientos,140 cv,5 Puertas,azul / Metalizado,16.900 €,"AUTOKIA
Profesional",,No,2025-02-17 11:51:40.521731,ref14816449
PORSCHE Cayenne 3.0 D,06/2012,215.000 km,Diésel,12 meses,Automático,"4x4, SUV o pickup",,- cv,5 Puertas,Negro,23.990 €,"MALLORCA CARS
Profesional",,No,2025-02-17 11:51:48.431324,ref14897967
AUDI A4 35 TDI Advanced S tronic 120kW,10/2019,94.576 km,Diesel,12 meses,Automático,Berlina,5 asientos,163 cv,4 Puertas,Blanco,22.700 €,"LOVE CARS
Profesional",,No,2025-02-17 11:51:55.410392,ref11961085
DACIA Dokker 1.5Blue dCi Essential 70kW,01/2020,127.863 km,Diesel,12 meses,Manual,Monovolumen,5 asientos,95 cv,4 Puertas,blanco,9.900 €,"AUTOKIA
Profesional",,No,2025-02-17 11:52:02.865176,ref13845209
PEUGEOT 308 1.2 PureTech S&S Active 110,01/2017,94.000 km,Gasolina,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco / Metalizado,10.990 €,"AUTOS ROSO LAS PALMAS
Profesional",,No,2025-02-17 11:52:11.019012,ref15006830
