nombre,calle,municipio,provincia,codigo_postal
AIR COOLED MOTOR,"Lucio Benito, 27 Local 2",San agustin del guadalix,Madrid,28750
AJ Automotive,Calle Progreso Número 1,Utrera,Sevilla,41710
AJ AUTOMÓVILES,Avenida Pablo Neruda,Madrid,Madrid,28038
AJ MOTORS,Pasaje Mª Luisa 40,Cerdanyola del valles,Barcelona,08290
Aj Racing Cars,"Avenida De Los Yeseros, 15,",Valdemoro,Madrid,28343
AKAAUTO,C/ Niza Nº8,Mostoles,Madrid,28936
ALAIN,Travesia Jose Huertas Morion 4 7ºa,Torrevieja,Alicante,03181
ALBA OCASIÓN,"C/ Real, 45, Local 3. Acceso Por Avenida Coria",Gelves,Sevilla,41120
ALBERTO POZUELO,.,Pozuelo de alarcon,Madrid,28224
ALBO EXPORT,Concertar Cita Previa,Aldeamayor de san martín,Valladolid,47162
ALBORAN MOTOR,Ctra. N - 340 Km -446,Huercal,Almería,04230
ALCALA 534 CTRA VALENCIA VN,"6,7 Km · Ctra. De Valencia, Km 7,3, Av. De La Democracia, 21",Madrid,Madrid,28043
ALCOMA INTERNACIONAL 1984 - GRANADA,C/ Periodista Fernando Gomez De La Cruz Nº17 3ª Planta,Granada,,18014
ALCOMOCION,"Maestro Roman, 1",Elche,Alicante,3204
ALD ARGANDA DURSAN,Avenida De Madrid 7,Madrid,Madrid,28500
ALD BURGOS DURSAN,Avenida Pedernales 12 Carretera De Madrid-Irún,Villagonzalo,Burgos,09195
ALD DURSAN SALAMANCA,"Ctra. Valladolid, 131",Salamanca,Salamanca,37184
ALD LEON DURSAN,"Av. Párroco Pablo Diez, C. La Raya, 513",Leon,León,24010
ALD VALLADOLID DURSAN,"Ctra. De León, Km.194",Zaratan,Valladolid,47610
"ALDEA QUERCUS,S.L",C/ San Juan Bosco Nº30,Estepona,,296
ALEA AUTOMOCION,Calle De Deyanira,Madrid,Madrid,28022
ALEMARCOCHES,Tomas Edison 7,Ondara,Alicante,03760
ALENA`S CARS,"Violonchelo, 38",Utrera,Sevilla,41710
ALENMOCAR,"C. De Aragón, 84",Mejorada del campo,Madrid,28840
ALEX TAX,Valencia Mar,Valencia,Valencia,46024
"ALEZEN, S.L.","Ctra. Avila - Salamanca, Km. 3.5",Narrillos de san leonardo,Salamanca,5160
ALF MOTOR,"Carretera Nacional 301 Km 430,5 Miranda",Cartagena,Murcia,30319
ALFAGEME AUTOMOVILES S.L,"Vazquez De Menchaca, 8",Valladolid,Valladolid,47008
Alfredo Rueda,Madrid,Madrid,Madrid,28015
ALGAMAUTO,"C. Tajo, 5",Mejorada del campo,Madrid,28840
"ALHAMBRA AUTOMOVILES, S.A.","Calle Bronce,14",Madrid,Madrid,28045
Alixares Motor,Joan Miro S/N Bajo,Zubia,Granada,18140
Aljune,Concertar Cita Previa,Las torres de cotillas,Murcia,30565
ALKIMAKI,Madrid 35,Fuente el saz del jarama,,28140
ALKIZABAL SL,"Barrio Bolunburu, 19",Lemoa,,48330
ALL ELECTRIK,"C/ La Venta 2, Pol.ind Neinor Edificio 10, Nave 1",Meco,Madrid,28880
ALLTRUCKSES,,,Lleida,
ALMACAR MOTOR,Ctra De Ayora Km 1,Almansa,Albacete,02640
Almirante Motor,Concertar Cita Previa,Baza,Granada,18800
ALMOTOR 26,"C/ Hnos. Garcia Noblejas, 26",Madrid,Madrid,28037
ALO WAGEN,"C/ Blasco Ibáñez, 23, Bajo.",Vila-real,Castellón,12540
ALONSO AUTOMOCION,Crta. Vieja Santiago 337,Lugo,Lugo,27294
ALONSO HERMANOS AUTOMOVILES,C/ Bristol Nº 5,Madrid,Madrid,28028
ALONSO PINEDA,"Autovia A-42, Km.63,4",Olías del rey,Toledo,45280
Alpik Automobile,"Calle Del Sol 20,",Arganda del rey,Madrid,28500
ALPIMAC MAQUINARIA S.L.,Parroquia De Cortiñan Parcela E3 Nave 1 Pol Industrial Bergondo,A coruña,,15165
ALQUICOCHE,Avd Del Cid 30,Valencia,Valencia,46018
ALQUIFRE,,,Cádiz,
ALQUIGAL,Avda. Arsenio Iglesias S/N,Arteixo,,0
ALQUIGEMASUR,Ctra Ecija A Jerez Km 7.2,Utrera sevilla,,41710
"ALQUILER DE MAQUINARIA RENTAIRE, S.A.",,,Madrid,
Alquiler de Maquinaria Vega Baja,Av.cdad.europea 10,Almoradi,,03160
Alquiler de Maquinarias,Lugo,Lugo,Lugo,26001
Alquileres Garbayo S.L.,"Pol. Ind. Municipal Vial Transversal 1, 52",Tudela,Navarra,31500
"ALQUIMECANICA, S.L.",,,Madrid,
Alquiven de maquinaria 2000 sl,Poligono Ciudad Del Transporte,Castellon,,12006
"ALQUIVEN MAQUINARIA 2000, S.L",,,Castellón,
ALR,Francesc Sancliment 83,Vic,Barcelona,08500
"ALR LUXURY TIME, SL",Concertar Cita,Matadepera,Barcelona,8230
ALSAGIL,,,Castellón,
ALSAM VENTA MAQUINARIA S.L.,"Calle Verneda (Pol. Industrial Can Roca), S/N",Martorelles,,08107
Alsecan Auto,Cartes,Cartes,Cantabria,39311
"ALTRASAN, S.L.",,,Pontevedra,
"ALTUNA PEÑIN REMARKETING, S. L",C/ De La Pelaya Nº4,Algete,,28110
Alv Alba Irauto,Benavente,Benavente,Zamora,49600
ÁLVARO Álfaro,Avinguda Del Cementiri,Figueres,Girona,17600
ALVARO NAVARRO,-,Elche,Alicante,3139
ALVARO PÉREZ,"Calle Las Moreras, 25,",Revillarruz,Burgos,09620
ALVE FORKLIFT,Calle El Puntal,El puntual,Sevilla,41580
Alvegirona 2000 SL,"Carretera Nacional 2 Km 711,",Fornells de la selva,Girona,17458
ALYHU MOTOR,Catr. Valladolid 171-175,Salamanca,Salamanca,37184
ALZ-MOTORS,Pol Ind Talluntxe Calle D57,Noain,Navarra,31110
AM AUTOMOVILES MONTERO,Pº De La Cuba 17-B,Albacete,Albacete,02005
AM AUTOS,Av/ De Las Habaneras Nº21,Torrevieja,Alicante,03182
AM CARS,Polígono San Luis,Málaga,Málaga,29006
Amadeo Garcia,Baza,Baza,,18800
