modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
Mazda2 2 Hybrid 1.5 85 kW (116 CV) CVT Select,Albacete,13903,Híbrido,ECO,12.0,True,Berlina,,116.0,5,ROJO,24990,True,,False,2025-02-18 12:12:33.897168,12983997,MAZDA,3,2023,GRUPO MOTORALBA,True,Castilla-La Mancha
500 1.0 Hybrid Dolcevita 52kW,Albacete,37634,Gasolina,ECO,12.0,False,Berlina,4.0,70.0,3,AZUL,12999,True,,False,2025-02-18 12:12:41.882905,15424519,FIAT,6,2022,GRUPO MOTORALBA,True,Castilla-La Mancha
Karoq 1.0 TSI Ambition DSG,Albacete,33851,Gasolina,C,12.0,True,Todo Terreno,5.0,115.0,5,BLANCO,19989,True,5.3,False,2025-02-18 12:12:49.244363,15311035,SKODA,2,2021,GRUPO MOTORALBA,True,Castilla-La Mancha
S-Max S Max 2.0 TDCi 140kW (190CV ) PowerShift AWD Vignale,Albacete,56480,Diésel,,12.0,True,Familiar,,190.0,5,NEGRO,33990,True,,False,2025-02-18 12:12:56.426833,14151026,FORD,2,2019,GRUPO MOTORALBA,True,Castilla-La Mancha
CX-3 2.0 Style+ 2WD Aut. 120,Castellón,68850,Gasolina,C,12.0,True,Todo Terreno,5.0,120.0,5,BLANCO,16900,True,5.8,False,2025-02-18 12:13:03.446508,15426434,MAZDA,5,2016,ALO WAGEN,True,Comunidad Valenciana
Touran 1.6TDI Edition 105,Segovia,203000,Diésel,B,12.0,False,Monovolumen,5.0,105.0,5,BLANCO,9500,True,5.1,False,2025-02-18 12:13:10.813062,15441666,VOLKSWAGEN,2,2013,KM 100 SEGOVIA,True,Castilla y León
Serie 4 430iA Coupé,Madrid,87000,Gasolina,C,12.0,True,Coupe,4.0,258.0,2,NEGRO,37900,True,5.7,False,2025-02-18 12:13:17.395561,15405416,BMW,1,2021,AUTO SPORT MORALEJA,True,Comunidad de Madrid
X5 xDrive 50iA,Valladolid,74252,Gasolina,C,12.0,True,Todo Terreno,5.0,449.0,5,NEGRO,36999,True,10.4,False,2025-02-18 12:13:24.396685,15415532,BMW,7,2016,DURSAN SALAMANCA,True,Castilla y León
Arona 1.0 TSI S&S FR DSG7 110,Málaga,23000,Gasolina,C,18.0,True,Todo Terreno,5.0,110.0,5,BLANCO,22300,True,,True,2025-02-18 12:13:50.214572,15334646,SEAT,7,2023,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI R-Line DSG 70kW,Málaga,40000,Gasolina,C,12.0,True,Berlina,5.0,95.0,5,GRIS,20300,True,,True,2025-02-18 12:13:58.097970,15328479,VOLKSWAGEN,5,2022,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI R-Line DSG 81kW,Málaga,18000,Gasolina,C,18.0,True,Berlina,5.0,110.0,5,NEGRO,23800,True,,True,2025-02-18 12:14:05.544204,15320380,VOLKSWAGEN,9,2023,MARTINSA MOTOR,True,Andalucía
Yaris 100H 1.5 Active,Málaga,41000,Híbrido,ECO,12.0,True,Berlina,5.0,100.0,5,BLANCO,19300,True,3.7,True,2025-02-18 12:14:14.425671,15319925,TOYOTA,9,2020,MARTINSA MOTOR,True,Andalucía
Clio Blue dCi Business 74kW,Málaga,54000,Diésel,C,12.0,False,Berlina,5.0,100.0,5,BLANCO,15800,True,,True,2025-02-18 12:14:20.588747,15319497,RENAULT,12,2021,MARTINSA MOTOR,True,Andalucía
Mégane 1.5dCi Blue Life 85kW,Málaga,47000,Diésel,C,12.0,False,Berlina,5.0,115.0,5,BLANCO,17800,True,3.9,True,2025-02-18 12:14:27.469351,15318805,RENAULT,12,2021,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI R-Line 70kW,Málaga,21000,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,BLANCO,19300,True,,True,2025-02-18 12:14:34.180604,15318499,VOLKSWAGEN,12,2021,MARTINSA MOTOR,True,Andalucía
Serie 3 318dA M Sport,Málaga,13000,Diésel,ECO,24.0,True,Berlina,5.0,150.0,4,GRIS,42300,True,,True,2025-02-18 12:14:42.916658,15303542,BMW,5,2024,MARTINSA MOTOR,True,Andalucía
Serie 1 116d,Málaga,52000,Diésel,C,12.0,False,Berlina,5.0,116.0,5,BLANCO,19300,True,3.8,True,2025-02-18 12:14:48.441403,15303360,BMW,3,2019,MARTINSA MOTOR,True,Andalucía
C5 Aircross PureTech S&S Feel EAT8 130,Madrid,118000,Gasolina,C,18.0,True,Todo Terreno,5.0,130.0,5,AZUL,3900,True,5.1,False,2025-02-18 12:14:54.655633,15441998,CITROEN,7,2020,"PERITACIONES AUTOVENTA A PROFESIONALES,S.L",True,Comunidad de Madrid
Arona 1.0 TSI S&S FR DSG7 110,Málaga,11000,Gasolina,C,18.0,True,Todo Terreno,5.0,110.0,5,AZUL,22300,True,,True,2025-02-18 12:14:59.895106,15291804,SEAT,9,2023,MARTINSA MOTOR,True,Andalucía
Mégane 1.5dCi Blue Life 85kW,Málaga,50000,Diésel,C,12.0,False,Berlina,5.0,115.0,5,BLANCO,17800,True,3.9,True,2025-02-18 12:15:07.712753,15283872,RENAULT,1,2022,MARTINSA MOTOR,True,Andalucía
Arona 1.0 TSI S&S Xperience XS 110,Málaga,48000,Gasolina,C,18.0,False,Todo Terreno,5.0,110.0,5,BLANCO,19800,True,,True,2025-02-18 12:15:15.278996,15283866,SEAT,2,2023,MARTINSA MOTOR,True,Andalucía
Yaris 100H 1.5 Active,Málaga,30000,Híbrido,ECO,12.0,True,Berlina,5.0,100.0,5,BLANCO,18300,True,3.7,True,2025-02-18 12:15:22.360803,15365991,TOYOTA,10,2019,MARTINSA MOTOR,True,Andalucía
500X 1.3 Firefly S&S Sport DCT 4x2,Málaga,65000,Gasolina,C,12.0,True,Todo Terreno,5.0,150.0,5,GRIS,20300,True,6.5,True,2025-02-18 12:15:29.293207,15365725,FIAT,4,2022,MARTINSA MOTOR,True,Andalucía
Juke 1.0 DIG-T Acenta 4x2 114,Málaga,20000,Gasolina,C,12.0,False,Todo Terreno,5.0,114.0,5,BLANCO,18800,True,,True,2025-02-18 12:15:36.738568,15365714,NISSAN,10,2021,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI Life 70kW,Málaga,33000,Gasolina,C,12.0,False,Berlina,5.0,95.0,5,OTROS,18300,True,,True,2025-02-18 12:16:11.351638,15247754,VOLKSWAGEN,11,2021,MARTINSA MOTOR,True,Andalucía
Tucson 1.6CRDI SLE 4x2,Málaga,38000,Diésel,C,12.0,False,Todo Terreno,5.0,116.0,5,GRIS,22300,True,4.7,True,2025-02-18 12:16:18.581845,15247239,HYUNDAI,11,2020,MARTINSA MOTOR,True,Andalucía
Polo 1.0 TSI Life 70kW,Málaga,15000,Gasolina,C,18.0,False,Berlina,5.0,95.0,5,BLANCO,19300,True,,True,2025-02-18 12:16:26.009783,15404406,VOLKSWAGEN,5,2023,MARTINSA MOTOR,True,Andalucía
Serie 1 M135iA xDrive (9.75),Alicante,50000,Gasolina,C,12.0,True,Berlina,4.0,306.0,5,OTROS,37990,True,7.1,False,2025-02-18 12:16:31.794679,15442000,BMW,9,2019,AUTOS GERSAN,True,Comunidad Valenciana
X2 sDrive 18dA,Málaga,31000,Diésel,C,12.0,True,Todo Terreno,5.0,150.0,5,GRIS,29300,True,4.4,True,2025-02-18 12:16:40.220341,15426557,BMW,11,2021,MARTINSA MOTOR,True,Andalucía
X2 sDrive 18iA Advantage,Málaga,39000,Gasolina,C,12.0,True,Todo Terreno,5.0,136.0,5,BLANCO,27800,True,5.4,True,2025-02-18 12:16:48.847980,15427200,BMW,7,2020,MARTINSA MOTOR,True,Andalucía
Clase GLC Coupé 200 4Matic 9G-Tronic,Málaga,52000,Gasolina,ECO,12.0,True,Coupe,5.0,197.0,5,AZUL,46800,True,7.1,True,2025-02-18 12:16:56.670769,15334954,MERCEDES-BENZ,3,2021,MARTINSA MOTOR,True,Andalucía
