modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
Kuga 1.5 EcoB. Auto S&S Trend 4x2 120,Málaga,57000,Gasolina,C,12.0,False,Todo Terreno,5.0,120.0,5,BLANCO,17800,True,6.2,True,2025-02-18 11:58:51.593115,15140941,FORD,3,2019,MARTINSA MOTOR,True,Andalucía
Qashqai 1.5dCi Acenta 4x2 85kW,Málaga,40000,Diésel,C,12.0,False,Todo Terreno,5.0,115.0,5,BLANCO,21300,True,3.9,True,2025-02-18 11:58:58.681734,15171933,NISSAN,11,2020,MARTINSA MOTOR,True,Andalucía
C5 Aircross BlueHDi S&S C-Series EAT8 130,Málaga,18,Diésel,C,24.0,True,Todo Terreno,5.0,130.0,5,GRIS,28800,True,,True,2025-02-18 11:59:03.658299,15144341,CITROEN,5,2023,MARTINSA MOTOR,True,Andalucía
Stonic 1.0 T-GDi MHEV Drive 100,Málaga,31000,Gasolina,ECO,12.0,False,Todo Terreno,5.0,100.0,5,GRIS,19800,True,,False,2025-02-18 11:59:10.511082,15152411,KIA,1,2024,MARTINSA MOTOR,True,Andalucía
Arona 1.0 TSI S&S Xperience 110,Málaga,46000,Gasolina,C,12.0,False,Todo Terreno,5.0,110.0,5,ROJO,20300,True,,True,2025-02-18 11:59:18.233860,15173797,SEAT,2,2023,MARTINSA MOTOR,True,Andalucía
T-Cross 1.0 TSI Advance,Barcelona,22801,Gasolina,C,24.0,False,Todo Terreno,5.0,95.0,5,NEGRO,20900,True,,False,2025-02-18 11:59:24.863915,13381721,VOLKSWAGEN,4,2023,SUPERWAGEN DasWeltAuto,True,Cataluña
Insight 1.3i-VTEC IMA Elegance,Alicante,130000,Híbrido,ECO,12.0,True,Berlina,5.0,98.0,5,BLANCO,9500,True,4.4,False,2025-02-18 11:59:31.365713,15421955,HONDA,4,2009,COCHES TORREVIEJA.,True,Comunidad Valenciana
T-Roc 1.5 TSI R-Line 110 kW,Madrid,5000,Gasolina,C,12.0,False,Todo Terreno,5.0,150.0,5,GRIS,33750,True,,False,2025-02-18 11:59:38.783086,15366956,VOLKSWAGEN,9,2024,F. Tomé,True,Comunidad de Madrid
Polo 1.0 TSI R-Line 70kW,Málaga,15000,Gasolina,C,18.0,False,Berlina,5.0,95.0,5,AZUL,20300,True,,True,2025-02-18 11:59:44.801266,15199149,VOLKSWAGEN,3,2023,MARTINSA MOTOR,True,Andalucía
T-Cross 1.0 TSI 70kW,Madrid,14153,Gasolina,C,12.0,False,Todo Terreno,5.0,95.0,5,NEGRO,21350,True,,False,2025-02-18 11:59:52.766415,15177840,VOLKSWAGEN,4,2024,F. Tomé,True,Comunidad de Madrid
Captur TCe Techno 67kW,Málaga,14000,Gasolina,C,24.0,False,Todo Terreno,5.0,90.0,5,OTROS,21300,True,,True,2025-02-18 12:01:38.767911,15201395,RENAULT,3,2024,MARTINSA MOTOR,True,Andalucía
Corolla 125H Active Tech,Málaga,59000,Híbrido,ECO,12.0,True,Berlina,5.0,122.0,5,BLANCO,21300,True,,True,2025-02-18 12:01:45.311361,15216896,TOYOTA,11,2021,MARTINSA MOTOR,True,Andalucía
Q2 35 TFSI Advanced S tronic 110kW,Málaga,54000,Gasolina,C,12.0,True,Todo Terreno,5.0,150.0,5,GRIS,26300,True,,True,2025-02-18 12:01:51.943205,15202325,AUDI,11,2020,MARTINSA MOTOR,True,Andalucía
T-Roc 1.5 TSI Advance DSG7,Málaga,42000,Gasolina,C,12.0,True,Todo Terreno,5.0,150.0,5,BLANCO,26800,True,,True,2025-02-18 12:01:59.386400,15220929,VOLKSWAGEN,6,2021,MARTINSA MOTOR,True,Andalucía
Stonic 1.0 T-GDi MHEV Drive 100,Málaga,32000,Gasolina,ECO,12.0,False,Todo Terreno,5.0,100.0,5,GRIS,19800,True,,False,2025-02-18 12:02:04.915141,15220671,KIA,1,2024,MARTINSA MOTOR,True,Andalucía
500 1.0 Hybrid Dolcevita 52kW,Málaga,33000,Gasolina,ECO,12.0,False,Berlina,4.0,70.0,3,AZUL,14300,True,,True,2025-02-18 12:04:06.269898,15226012,FIAT,1,2023,MARTINSA MOTOR,True,Andalucía
