municipio,cantidad_coches,precio_medio
Santa rosalia,1,17500.0
Santander,2,43945.0
Santiago de compostela,9,18657.78
Sants - montjuïc,20,18983.75
Sedaví,12,18244.08
Sevilla,59,44939.76
Sevilla la nueva,3,23666.67
Sotillo de la adrada,4,37150.0
Sueca,2,44345.0
Sunbilla,3,15832.33
Tarragona,4,22675.0
Tarrega,1,18900.0
Telde,16,33578.12
Teo,3,37290.0
Terrassa,15,44139.67
Torralba de calatrava,1,13990.0
Torrejon de ardoz,33,22132.67
Torrent,11,44334.91
Torrevieja,9,17323.33
Tortosa,2,18400.0
Trapagaran,1,12900.0
Ubeda,4,32737.25
Valdemoro,6,22830.0
Valdepeñas,2,21140.0
Valencia,90,25649.87
Valladolid,15,40706.0
València,21,18132.62
Vejer,7,21999.86
Velez,5,13780.0
Velilla de san antonio,27,15486.3
Venturada,2,38990.0
Vic,5,28990.0
Vigo,33,42025.45
Vila-real,5,18090.0
Viladecans,1,10490.0
Vilafranca del penedes,1,30890.0
Vilafranca del penedès,2,19690.0
Vilagarcia de arousa,6,96123.0
Vilamalla,1,29900.0
Villamartin,2,11955.0
Villanueva de córdoba,12,33187.5
Villares de la reina,5,34158.0
"Villares de la reina,",3,18590.0
Villaviciosa de odon,1,31500.0
Vitoria,6,28050.0
Vitoria-gasteiz,3,20700.0
Vizcaya,2,26838.5
Zamora,1,49900.0
Zaragoza,89,33331.02
Zaratan,11,21754.55
Zaratán,3,18590.0
Ávila,1,75900.0
