municipio,cantidad_coches,precio_medio
San ciprian de viñas,4,53150.0
San cugat del valles,1,25950.0
San fernando de henares,6,20975.0
San jorge,6,23628.33
San luis,2,34400.0
San miguel de abona,21,39384.76
San pedro de alcantara,1,3900.0
San salvador de muxa,13,50184.62
San sebastian de los reyes,9,136611.11
San sebastián de los reyes,21,51945.86
Sant adrià de besòs,287,17545.34
Sant boi de llobregat,2,18240.0
Sant feliu de llobregat,7,16614.29
Sant fuitos de bages,1,20700.0
Sant just desvern,3,20256.67
Santa cruz de tenerife,3,27493.33
Santa fe,7,17218.57
Santa rosalia,1,17500.0
Santander,3,40626.67
Santiago de compostela,9,18657.78
Sants - montjuïc,20,18983.75
Sedaví,12,18244.08
Segur de calafell,2,10440.0
Sevilla,70,45790.94
Sevilla la nueva,3,23666.67
Sotillo de la adrada,4,37150.0
Sueca,2,44345.0
Sunbilla,3,15832.33
Tarragona,5,19840.0
Tarrega,1,18900.0
Telde,19,30274.74
Teo,12,22720.0
Terrassa,15,44139.67
Torralba de calatrava,1,13990.0
Torrefarrera,1,1190.0
Torrejon de ardoz,34,21922.59
Torremolinos,3,22323.33
Torrent,15,38073.0
Torrevieja,9,17323.33
Tortosa,3,17316.67
Trapagaran,1,12900.0
Trobajo del camino-leon,3,31500.0
Ubeda,4,32737.25
Valdemoro,7,22211.43
Valdepeñas,2,21140.0
Valencia,92,25794.23
Valladolid,16,47155.62
Valverde de leganes,2,73990.0
València,22,18171.82
Vejer,9,20388.67
Velez,7,14414.29
Velilla de san antonio,30,15320.0
Venturada,2,38990.0
Vic,5,28990.0
Vigo,42,39970.71
Vila-real,5,18090.0
Viladecans,1,10490.0
Vilafranca del penedes,3,25563.33
Vilafranca del penedès,2,19690.0
Vilagarcia de arousa,9,81178.67
Vilamalla,1,29900.0
Villamartin,6,16021.67
Villanueva de córdoba,19,34044.74
Villanueva de la cañada,2,28995.0
Villares de la reina,5,34158.0
"Villares de la reina,",3,18590.0
Villaviciosa de odon,1,31500.0
Villaviciosa de odón,1,20800.0
Vitoria,8,26762.5
Vitoria-gasteiz,5,23300.0
Vizcaya,4,22469.25
Xativa,4,32500.0
Zamora,1,49900.0
Zaragoza,95,37059.27
Zaratan,13,22461.54
Zaratán,3,18590.0
Ávila,1,75900.0
