nombre,calle,municipio,provincia,codigo_postal
Aguassubterraneas,Ondara,Ondara,,3760.0
AGÜERAUTO MOTOR,P.i. Ntra. Sra. Lourdes,Coin,Málaga,29100.0
AGUILERA AUTOCENTROS,"Avenida Del Moncayo, 30",San sebastian de los reyes,Madrid,28703.0
AINA MOTORS,Carretera Los Santos De La Humosa Nave 3º B,Pozo de guadalajara,Guadalajara,19161.0
AIR COOLED MOTOR,"Lucio Benito, 27 Local 2",San agustin del guadalix,Madrid,28750.0
AJ Automotive,Calle Progreso Número 1,Utrera,Sevilla,41710.0
AJ AUTOMÓVILES,Avenida Pablo Neruda,Madrid,Madrid,28038.0
AJ MOTORS,Pasaje Mª Luisa 40,Cerdanyola del valles,Barcelona,8290.0
Aj Racing Cars,"Avenida De Los Yeseros, 15,",Valdemoro,Madrid,28343.0
AKAAUTO,C/ Niza Nº8,Mostoles,Madrid,28936.0
ALAIN,Travesia Jose Huertas Morion 4 7ºa,Torrevieja,Alicante,3181.0
ALBA OCASIÓN,"C/ Real, 45, Local 3. Acceso Por Avenida Coria",Gelves,Sevilla,41120.0
ALBERTO POZUELO,.,Pozuelo de alarcon,Madrid,28224.0
ALBO EXPORT,Concertar Cita Previa,Aldeamayor de san martín,Valladolid,47162.0
ALBORAN MOTOR,Ctra. N - 340 Km -446,Huercal,Almería,4230.0
ALCALA 534 CTRA VALENCIA VN,"6,7 Km · Ctra. De Valencia, Km 7,3, Av. De La Democracia, 21",Madrid,Madrid,28043.0
ALCOMA INTERNACIONAL 1984 - GRANADA,C/ Periodista Fernando Gomez De La Cruz Nº17 3ª Planta,Granada,,18014.0
ALCOMOCION,"Maestro Roman, 1",Elche,Alicante,3204.0
ALD ARGANDA DURSAN,Avenida De Madrid 7,Madrid,Madrid,28500.0
ALD BURGOS DURSAN,Avenida Pedernales 12 Carretera De Madrid-Irún,Villagonzalo,Burgos,9195.0
ALD DURSAN SALAMANCA,"Ctra. Valladolid, 131",Salamanca,Salamanca,37184.0
ALD LEON DURSAN,"Av. Párroco Pablo Diez, C. La Raya, 513",Leon,León,24010.0
ALD VALLADOLID DURSAN,"Ctra. De León, Km.194",Zaratan,Valladolid,47610.0
"ALDEA QUERCUS,S.L",C/ San Juan Bosco Nº30,Estepona,,0.0
ALEA AUTOMOCION,Calle De Deyanira,Madrid,Madrid,28022.0
ALEMARCOCHES,Tomas Edison 7,Ondara,Alicante,3760.0
ALENA`S CARS,"Violonchelo, 38",Utrera,Sevilla,41710.0
ALENMOCAR,"C. De Aragón, 84",Mejorada del campo,Madrid,28840.0
ALEX TAX,Valencia Mar,Valencia,Valencia,46024.0
